stream,condition,n_seeds,acc_mean,acc_std,cost_mean,cost_std,n_retrains_mean
sea_abrupt,A0_no_retrain,10,0.7211282051282051,0.1206946630750152,0.0039,0.0,0.0
sea_abrupt,A1_periodic_retrain,10,0.7628974358974359,0.052412744350267895,0.15389999999999998,2.925694557147251e-17,3.0
sea_abrupt,A2_full_system_ADWIN,10,0.74283,0.08666643653815599,0.2839,0.4083843505544474,5.6
sine_abrupt,A0_no_retrain,10,0.49553333333333327,0.0027711769040008323,0.0039,0.0,0.0
sine_abrupt,A1_periodic_retrain,10,0.6329076923076923,0.01808241697849211,0.15389999999999998,2.925694557147251e-17,3.0
sine_abrupt,A2_full_system_ADWIN,10,0.6290699999999999,0.009759445567130218,0.19390000000000002,0.056764621219754674,3.8
hyperplane_gradual,A0_no_retrain,10,0.649928205128205,0.07271616535692091,0.0039,0.0,0.0
hyperplane_gradual,A1_periodic_retrain,10,0.7402820512820513,0.03634779964819195,0.15389999999999998,2.925694557147251e-17,3.0
hyperplane_gradual,A2_full_system_ADWIN,10,0.80533,0.014574410603672589,0.2189,0.07090682462060882,4.3
